iter	Passed	Remaining
560	9020	627
561	9032	610
562	9044	594
563	9057	578
564	9067	561
565	9081	545
566	9093	529
567	9102	512
568	9113	496
569	9126	480
570	9136	464
571	9148	447
572	9160	431
573	9169	415
574	9181	399
575	9194	383
576	9208	367
577	9225	351
578	9239	335
579	9255	319
580	9273	303
581	9290	287
582	9307	271
583	9321	255
584	9331	239
585	9344	223
586	9356	207
587	9368	191
588	9379	175
589	9391	159
590	9402	143
591	9412	127
592	9425	111
593	9438	95
594	9447	79
595	9460	63
596	9474	47
597	9487	31
598	9496	15
599	9510	0
